id;label
001;Black_grass
002;Black_grass
003;Black_grass
004;Black_grass
005;Black_grass
006;Black_grass
007;Black_grass
008;Black_grass
009;Black_grass
010;Black_grass
011;Black_grass
012;Black_grass
013;Black_grass
014;Black_grass
015;Black_grass
016;Black_grass
017;Black_grass
018;Black_grass
019;Black_grass
020;Black_grass
021;Black_grass
022;Black_grass
023;Black_grass
024;Black_grass
025;Black_grass
026;Black_grass
027;Black_grass
028;Black_grass
029;Black_grass
030;Black_grass
031;Black_grass
032;Black_grass
033;Black_grass
034;Black_grass
035;Black_grass
036;Black_grass
037;Black_grass
038;Black_grass
039;Black_grass
040;Black_grass
041;Black_grass
042;Black_grass
043;Black_grass
044;Black_grass
045;Black_grass
046;Black_grass
047;Black_grass
048;Black_grass
049;Black_grass
050;Black_grass
051;Black_grass
052;Black_grass
053;Black_grass
054;Black_grass
055;Black_grass
056;Black_grass
057;Black_grass
058;Black_grass
059;Black_grass
060;Black_grass
061;Black_grass
062;Black_grass
063;Black_grass
064;Black_grass
065;Black_grass
066;Black_grass
067;Black_grass
068;Black_grass
069;Black_grass
070;Black_grass
071;Black_grass
072;Black_grass
073;Black_grass
074;Black_grass
075;Charlock
076;Charlock
077;Charlock
078;Charlock
079;Charlock
080;Charlock
081;Charlock
082;Charlock
083;Charlock
084;Charlock
085;Charlock
086;Charlock
087;Charlock
088;Charlock
089;Charlock
090;Charlock
091;Charlock
092;Charlock
093;Charlock
094;Charlock
095;Charlock
096;Charlock
097;Charlock
098;Charlock
099;Charlock
100;Charlock
101;Charlock
102;Charlock
103;Charlock
104;Charlock
105;Charlock
106;Charlock
107;Charlock
108;Charlock
109;Charlock
110;Charlock
111;Charlock
112;Charlock
113;Charlock
114;Charlock
115;Charlock
116;Charlock
117;Charlock
118;Charlock
119;Charlock
120;Charlock
121;Charlock
122;Charlock
123;Charlock
124;Charlock
125;Charlock
126;Charlock
127;Charlock
128;Charlock
129;Charlock
130;Charlock
131;Charlock
132;Charlock
133;Charlock
134;Charlock
135;Charlock
